"R1"	"R2"	"R3"	"R4"	"R7"	"R8"	"R9"	"R10"	"R13"	"R15"	"R16"	"R19"	"R20"	"R21"
"497097"	1	0	0	3	0	7	0	4	2	5	1	0	8	3
"100503874"	0	0	0	0	0	0	0	1	0	0	0	0	1	0
"100038431"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"19888"	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"20671"	0	0	0	1	0	0	0	0	0	0	0	0	0	1
"27395"	2438	2352	1631	2181	1994	1960	2736	2896	2206	1166	2252	444	1840	1840
"18777"	2709	5192	2080	2712	2436	3364	2473	3418	3788	2387	2660	962	3262	2604
"100503730"	6	6	0	0	0	0	0	6	3	5	3	0	3	0
"21399"	2882	2797	2000	3753	2400	2420	2560	4675	3071	1647	3189	431	2534	3267
"58175"	1	3	2	3	1	0	0	6	1	1	7	1	3	5
"108664"	1302	1785	806	1524	1096	1832	1467	1939	1638	868	1816	409	1919	2035
"18387"	0	0	0	0	0	6	0	0	2	0	0	0	0	0
"226304"	0	0	0	0	0	0	0	0	0	3	0	0	1	0
"12421"	836	1897	1239	2050	757	1392	1085	4116	1438	1946	1657	811	1742	1734
"620393"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"240690"	52	37	60	36	59	71	82	141	89	154	14	11	137	34
"319263"	902	1712	1417	1362	745	998	1039	2662	1274	1479	1137	635	1561	1280
"71096"	0	1	2	0	0	0	0	0	0	0	0	0	0	0
"59014"	1141	881	899	2221	942	1016	1518	5121	1202	766	1903	193	1168	1912
"76187"	21	38	10	24	21	40	16	69	24	20	20	6	21	26
"72481"	0	0	1	0	0	1	1	7	0	1	0	0	1	0
"76982"	0	0	0	0	0	0	0	0	0	0	0	1	0	0
"17864"	62	97	88	101	75	70	76	223	109	120	196	67	97	94
"70675"	910	1856	947	2118	754	1340	1076	3358	1516	1296	1953	321	1342	1778
"73331"	6	12	8	3	0	10	5	3	4	3	1	4	4	7
"170755"	243	216	233	202	288	236	438	459	671	443	261	25	132	126
"620986"	221	172	269	122	261	137	243	259	155	221	178	43	141	107
"240697"	0	1	1	0	0	0	1	0	0	0	2	0	1	2
"73824"	773	594	664	1020	597	650	1059	1775	687	589	802	242	810	1123
"266793"	4	1	4	6	3	0	3	6	3	3	8	2	6	3
"100038398"	213	153	195	176	160	189	279	423	382	376	221	6	384	164
"100039596"	6	11	9	6	7	22	14	14	23	11	15	0	21	8
"69312"	5	0	6	1	5	0	4	0	5	5	0	0	0	0
"26754"	2075	2421	1415	2119	1662	2417	2426	2584	2167	1144	2827	560	2489	3024
"211660"	791	799	938	802	664	582	729	1668	867	1121	815	307	890	689
"211673"	7913	18941	8400	16562	6736	13677	10533	25191	11739	10983	15249	4906	15646	14583
"329093"	0	0	0	0	0	1	1	0	0	0	0	2	0	0
"109294"	2	4	4	3	1	5	6	4	4	5	4	0	6	5
"320492"	0	0	1	0	1	0	0	0	2	1	0	0	0	0
"329096"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"240725"	2	0	2	1	0	2	1	0	2	0	0	0	4	0
"240726"	3	7	4	47	1	7	6	66	5	7	93	0	78	42
"383491"	1	0	0	0	0	1	0	1	3	1	0	0	2	0
"17978"	1452	2728	1439	2719	1256	2253	1763	3527	2247	1836	2422	627	2806	2702
"72265"	4722	5936	3191	4322	3996	4523	3723	4898	4664	2791	4495	1026	4396	3555
"212442"	1484	2107	1390	1556	1271	1138	1152	2350	1267	1305	1170	603	1280	1248
"381246"	203	452	39	53	174	151	63	98	122	52	79	124	145	115
"433273"	36	65	43	18	51	48	51	84	24	29	20	10	33	30
"14048"	0	0	0	0	0	0	0	0	0	0	0	0	2	0
"17681"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"277328"	124	43	29	3	101	2	23	0	7	0	1	8	3	2
"98741"	8	23	7	8	10	43	11	39	51	22	4	1	41	6
"21749"	903	824	1092	1222	822	623	1010	1967	764	943	1235	448	764	881
"226866"	2	7	3	22	0	2	7	10	3	5	7	0	8	25
"665434"	10	4	1	4	2	5	10	6	9	2	5	0	5	2
"75799"	0	0	0	2	0	1	1	4	0	0	2	0	0	2
"19989"	10904	11117	11676	12349	10236	8159	12527	21487	10090	9669	10162	4267	10487	11736
"98711"	783	3628	1520	8631	530	1564	1715	5023	700	555	9572	987	5568	18144
"29819"	415	791	439	712	372	552	471	1038	554	384	667	203	461	667
"66799"	651	861	505	1081	525	819	608	1385	745	544	921	169	900	957
"67923"	1329	1371	957	1246	1017	1046	1415	1534	1153	801	1682	401	1294	1375
"329101"	1	0	0	0	0	0	1	2	0	0	0	0	0	2
"70397"	1512	1308	998	1338	1111	1052	1413	1639	1373	747	1539	222	1042	1309
"17087"	79	111	70	63	56	83	97	142	86	104	112	63	127	126
"57339"	23	45	26	30	45	23	32	29	42	20	71	16	16	24
"14545"	0	1	0	2	0	1	0	12	3	3	6	0	5	2
"94227"	0	2	0	0	0	2	0	0	0	0	0	1	0	0
"83691"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"78081"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"654454"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"654460"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"77673"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"654464"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"226896"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"21419"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"241035"	1	94	3	56	1	21	0	18	2	2	107	17	24	204
"75028"	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"387202"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"723817"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16171"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"257630"	0	0	0	0	0	1	0	0	0	0	0	0	1	0
"17215"	3309	1915	3294	3463	2522	2352	4804	3434	3266	2273	5850	566	3221	3119
"77741"	3	2	2	3	0	1	3	1	2	0	4	2	3	5
"74229"	485	3082	347	3216	341	1521	505	2244	447	157	2665	573	1554	4815
"71877"	14	67	18	35	17	46	13	22	12	6	14	12	21	41
"170829"	21	20	18	16	7	38	20	13	46	18	14	6	14	11
"75712"	118	178	99	123	90	149	131	178	134	82	72	19	117	130
"14859"	4940	5473	2224	3026	3686	3813	3130	3438	3241	1157	9572	1082	5529	4894
"241041"	0	0	0	0	0	1	0	0	1	0	0	0	0	0
"368204"	72	59	107	362	43	44	97	368	22	12	89	8	155	222
"433278"	7	6	17	60	5	8	23	51	1	2	18	0	24	36
"98582"	1	0	0	1	1	0	1	2	0	0	0	0	0	1
"226922"	0	0	1	13	1	0	0	6	0	0	13	0	0	38
