Genes	E12FS_RNA_rep1	E12FS_RNA_rep2	E12HS_RNA_rep1	E12HS_RNA_rep2	E12SmallIntestine_RNA_rep1	E12SmallIntestine_RNA_rep2	E14FS_RNA_rep1	E14FS_RNA_rep2	E14HS_RNA_rep1	E14HS_RNA_rep2	E14SmallIntestine_RNA_rep1	E14SmallIntestine_RNA_rep2	E16FS_RNA_rep1	E16FS_RNA_rep2	E16HS_RNA_rep1	E16HS_RNA_rep2	E16SmallIntestine_RNA_rep1	E16SmallIntestine_RNA_rep2	E10Cdx2KO_SmallIntestine_RNA_Rep1	E10Cdx2KO_SmallIntestine_RNA_Rep2	E10Cdx2KO_SmallIntestine_RNA_Rep3	E13Cdx2KO_SmallIntestine_RNA_rep1	E13Cdx2KO_SmallIntestine_RNA_rep2	E18SmallIntestine_RNA_rep1	E18SmallIntestine_RNA_rep2	E15Cdx2KO_SmallIntestine_RNA_rep1	E15Cdx2KO_SmallIntestine_RNA_rep2	Adult_Duodenum_Cdx2KO_RNA_rep1	Adult_Duodenum_Cdx2KO_RNA_rep2	Adult_Ileum_WT_RNA_rep1	Adult_Ileum_WT_RNA_rep2	Adult_Ileum_Cdx2KO_RNA_rep1	Adult_Ileum_Cdx2KO_RNA_rep2
0610005C13Rik	4	4	14	7	2	5	1	1	20	15	92	36	0	1	61	61	1143	1212	162	153	278	1790	1735	808	1300	1134	1534	1520	897	616	1022	277	195
0610007P14Rik	2809	3168	2816	2994	2661	2660	1400	1562	1952	1861	5861	1844	439	390	1285	1284	2409	2320	4101	3846	2250	1534	1478	669	1005	1124	1512	1888	1133	767	937	1384	1060
0610009B22Rik	1450	1667	1478	1669	1975	1701	781	747	986	957	3093	848	160	167	549	648	673	735	2992	3616	2351	672	579	253	313	483	704	447	318	197	204	356	193
0610009L18Rik	59	116	100	72	103	116	28	52	69	73	155	43	30	30	76	40	17	22	174	162	96	14	22	16	28	15	19	15	19	6	10	19	7
0610009O20Rik	273	398	365	355	327	400	493	607	551	601	1180	689	57	57	170	148	183	167	83	114	108	1038	870	521	854	1135	1523	666	392	333	385	424	236
0610010B08Rik	5	2	4	6	0	2	7	8	9	15	21	8	0	1	3	1	0	2	0	0	0	12	13	2	1	3	5	6	2	1	1	6	0
0610010F05Rik	1433	2671	2473	3187	2498	2392	1300	1566	1811	1672	4534	1697	74	115	894	997	514	572	468	400	252	301	266	114	200	409	646	276	153	97	162	328	238
0610010K14Rik	1809	2383	1808	1935	1592	2185	1127	1153	1054	1043	3860	1103	408	444	689	773	826	756	2935	3177	1923	469	468	256	367	382	481	238	150	117	160	215	132
0610011F06Rik	922	1431	1235	1255	1245	1616	652	701	887	873	2529	683	212	207	716	745	801	820	2673	3069	1445	2211	2187	735	1104	1070	1327	1011	651	465	372	568	351
0610012G03Rik	2301	2541	2613	3136	3130	3165	1327	1436	1536	1528	6270	1777	444	450	1287	1558	2756	2446	5427	7006	4801	1090	1015	657	983	915	1169	910	624	400	515	689	358
